State,Year,Quarter,District,Registered_User,App_Opens,Latitude,Longitude,Region
Arunachal Pradesh,2022,3,West Siang,16063,1637984,28.4,94.55,North-Eastern Region
Arunachal Pradesh,2022,3,Kamle,1262,1335449,28.4,94.55,North-Eastern Region
Arunachal Pradesh,2022,3,Upper Siang,5690,2257253,28.6416983,95.0252232,North-Eastern Region
Arunachal Pradesh,2022,3,Kurung Kumey,1936,861405,27.98636765,93.15783468644102,North-Eastern Region
Arunachal Pradesh,2022,3,Siang,4369,1681957,28.477492,94.81655728795752,North-Eastern Region
Arunachal Pradesh,2022,3,Kra Daadi,1893,1436202,27.9366293,92.6658618,North-Eastern Region
Arunachal Pradesh,2022,3,Changlang,29965,5703178,27.272007,96.06552596101916,North-Eastern Region
Arunachal Pradesh,2022,3,Pakke Kessang,980,1039686,27.1061731,92.9311395,North-Eastern Region
Arunachal Pradesh,2022,3,East Siang,28698,3767855,28.3,95.15,North-Eastern Region
Arunachal Pradesh,2022,3,Upper Subansiri,9713,1535818,28.3,94.0,North-Eastern Region
Arunachal Pradesh,2022,3,Tawang,17281,4728673,27.6741942,91.93620587613825,North-Eastern Region
Arunachal Pradesh,2022,3,Namsai,15642,2424843,27.6741942,91.93620587613825,North-Eastern Region
Arunachal Pradesh,2022,4,Lower Subansiri,12630,833741,27.8,93.6,North-Eastern Region
Arunachal Pradesh,2022,4,Tirap,11584,645541,27.5013437,96.5242944,North-Eastern Region
Arunachal Pradesh,2022,4,Papum Pare,130306,6605350,27.5013437,96.5242944,North-Eastern Region
Arunachal Pradesh,2022,4,Anjaw,4105,197829,28.1114301,96.82699963398372,North-Eastern Region
Arunachal Pradesh,2022,4,Lower Siang,5633,318731,28.477492,94.81655728795752,North-Eastern Region
Arunachal Pradesh,2022,4,Dibang Valley,752,15469,28.8291044,95.95540957636018,North-Eastern Region
Arunachal Pradesh,2022,4,West Kameng,32237,2129051,27.33862695,92.43336623881612,North-Eastern Region
Arunachal Pradesh,2022,4,Shi Yomi,615,25308,28.1114301,96.82699963398372,North-Eastern Region
Arunachal Pradesh,2022,4,East Kameng,6307,390756,27.55778095,92.96738426595108,North-Eastern Region
Arunachal Pradesh,2022,4,Lohit,22359,1441490,28.0060625,96.2431946,North-Eastern Region
Arunachal Pradesh,2022,4,Lepa Rada,4730,345752,28.0060625,96.2431946,North-Eastern Region
Arunachal Pradesh,2022,4,Lower Dibang Valley,13188,799856,17.0347692,81.7819183,North-Eastern Region
Arunachal Pradesh,2022,4,Longding,6590,442997,27.8,93.6,North-Eastern Region
Arunachal Pradesh,2022,4,West Siang,16816,964082,28.4,94.55,North-Eastern Region
Arunachal Pradesh,2022,4,Kamle,1301,131540,28.4,94.55,North-Eastern Region
Arunachal Pradesh,2022,4,Upper Siang,5930,277877,28.6416983,95.0252232,North-Eastern Region
Arunachal Pradesh,2022,4,Kurung Kumey,2008,72926,27.98636765,93.15783468644102,North-Eastern Region
Arunachal Pradesh,2022,4,Siang,4500,277881,28.477492,94.81655728795752,North-Eastern Region
Arunachal Pradesh,2022,4,Kra Daadi,1960,131838,27.9366293,92.6658618,North-Eastern Region
Arunachal Pradesh,2022,4,Changlang,31196,1611653,27.272007,96.06552596101916,North-Eastern Region
Arunachal Pradesh,2022,4,Pakke Kessang,1013,72545,27.1061731,92.9311395,North-Eastern Region
Arunachal Pradesh,2022,4,East Siang,30033,1542563,28.3,95.15,North-Eastern Region
Arunachal Pradesh,2022,4,Upper Subansiri,10189,456906,28.3,94.0,North-Eastern Region
Arunachal Pradesh,2022,4,Tawang,18003,947132,27.6741942,91.93620587613825,North-Eastern Region
Arunachal Pradesh,2022,4,Namsai,16322,1096224,27.6741942,91.93620587613825,North-Eastern Region
Assam,2022,1,Tinsukia,179301,20168560,27.5971709,95.566852920138,North-Eastern Region
Assam,2022,1,Lakhimpur,120220,15015691,27.2382645,94.1053145,North-Eastern Region
Assam,2022,1,Kamrup,198189,11459793,26.2074223,91.6771799,North-Eastern Region
Assam,2022,1,Kokrajhar,82364,8229125,26.2074223,91.6771799,North-Eastern Region
Assam,2022,1,Karbi Anglong,78533,9256671,26.0,93.5,North-Eastern Region
Assam,2022,1,Sivasagar,102281,5349801,26.0,93.5,North-Eastern Region
Assam,2022,1,Dibrugarh,210525,15363717,27.4881672,95.3623358,North-Eastern Region
Assam,2022,1,South Salmara Mancachar,38302,1898232,27.4881672,95.3623358,North-Eastern Region
Assam,2022,1,Nagaon,268636,11824798,27.4881672,95.3623358,North-Eastern Region
Assam,2022,1,Dhubri,137698,6835888,25.543251265569022,87.56949075116762,North-Eastern Region
Assam,2022,1,Golaghat,133110,12987090,26.5305611,93.9603353,North-Eastern Region
Assam,2022,1,Udalguri,78818,11725654,26.70472375,92.04215071409465,North-Eastern Region
Assam,2022,1,Majuli,18571,2645019,26.70472375,92.04215071409465,North-Eastern Region
Assam,2022,1,Sonitpur,211236,14366935,26.70472375,92.04215071409465,North-Eastern Region
Assam,2022,1,Hojai,86278,8113783,26.70472375,92.04215071409465,North-Eastern Region
Assam,2022,1,Marigaon,118114,5848484,26.70472375,92.04215071409465,North-Eastern Region
Assam,2022,1,Chirang,49100,7852843,26.70472375,92.04215071409465,North-Eastern Region
Assam,2022,1,Cachar,230089,8410193,25.083333,92.916667,North-Eastern Region
Assam,2022,1,Nalbari,91599,5171677,25.083333,92.916667,North-Eastern Region
Assam,2022,1,West Karbi Anglong,17520,3151993,25.083333,92.916667,North-Eastern Region
Assam,2022,1,Dhemaji,92508,9664135,27.5945155,94.71920979201424,North-Eastern Region
Assam,2022,1,Karimganj,121183,7177971,24.86648155,92.35121508187882,North-Eastern Region
Assam,2022,1,Bongaigaon,108394,6969226,24.86648155,92.35121508187882,North-Eastern Region
Assam,2022,1,Dima Hasao,32525,4510020,25.40036255,93.07522922678903,North-Eastern Region
Assam,2022,1,Baksa,101877,10310341,25.40036255,93.07522922678903,North-Eastern Region
Assam,2022,1,Charaideo,54795,6254195,25.40036255,93.07522922678903,North-Eastern Region
Assam,2022,1,Darrang,96249,7704843,26.75,92.5,North-Eastern Region
Assam,2022,1,Kamrup Metropolitan,767859,6949354,26.75,92.5,North-Eastern Region
Assam,2022,1,Hailakandi,77112,4118477,24.6827307,92.5622753,North-Eastern Region
Assam,2022,1,Barpeta,238871,10253994,24.6827307,92.5622753,North-Eastern Region
Assam,2022,1,Goalpara,123781,7889994,24.6827307,92.5622753,North-Eastern Region
Assam,2022,1,Biswanath,72362,7739432,24.6827307,92.5622753,North-Eastern Region
Assam,2022,1,Jorhat,154589,6424524,26.7586112,94.20640848109768,North-Eastern Region
Assam,2022,2,Tinsukia,189633,24952767,27.5971709,95.566852920138,North-Eastern Region
Assam,2022,2,Lakhimpur,127316,18753294,27.2382645,94.1053145,North-Eastern Region
Assam,2022,2,Kamrup,210048,14467070,26.2074223,91.6771799,North-Eastern Region
Assam,2022,2,Kokrajhar,87353,10074207,26.2074223,91.6771799,North-Eastern Region
Assam,2022,2,Karbi Anglong,83178,10826701,26.0,93.5,North-Eastern Region
Assam,2022,2,Sivasagar,108296,6750232,26.0,93.5,North-Eastern Region
Assam,2022,2,Dibrugarh,222494,18395761,27.4881672,95.3623358,North-Eastern Region
Assam,2022,2,South Salmara Mancachar,40714,2233450,27.4881672,95.3623358,North-Eastern Region
Assam,2022,2,Nagaon,284558,12455248,27.4881672,95.3623358,North-Eastern Region
Assam,2022,2,Dhubri,146304,9092346,25.543251265569022,87.56949075116762,North-Eastern Region
Assam,2022,2,Golaghat,140961,16364819,26.5305611,93.9603353,North-Eastern Region
Assam,2022,2,Udalguri,83629,14945821,26.70472375,92.04215071409465,North-Eastern Region
Assam,2022,2,Majuli,19678,3033439,26.70472375,92.04215071409465,North-Eastern Region
Assam,2022,2,Sonitpur,223514,16534514,26.70472375,92.04215071409465,North-Eastern Region
Assam,2022,2,Hojai,91289,10527736,26.70472375,92.04215071409465,North-Eastern Region
Assam,2022,2,Marigaon,125094,7396715,26.70472375,92.04215071409465,North-Eastern Region
Assam,2022,2,Chirang,52054,10714348,26.70472375,92.04215071409465,North-Eastern Region
Assam,2022,2,Cachar,243727,8364258,25.083333,92.916667,North-Eastern Region
Assam,2022,2,Nalbari,96855,6448258,25.083333,92.916667,North-Eastern Region
Assam,2022,2,West Karbi Anglong,18603,4005474,25.083333,92.916667,North-Eastern Region
Assam,2022,2,Dhemaji,97885,12335239,27.5945155,94.71920979201424,North-Eastern Region
Assam,2022,2,Karimganj,128589,8450117,24.86648155,92.35121508187882,North-Eastern Region
Assam,2022,2,Bongaigaon,114947,8688653,24.86648155,92.35121508187882,North-Eastern Region
Assam,2022,2,Dima Hasao,34416,4804116,25.40036255,93.07522922678903,North-Eastern Region
Assam,2022,2,Baksa,108093,12311677,25.40036255,93.07522922678903,North-Eastern Region
Assam,2022,2,Charaideo,58046,8651839,25.40036255,93.07522922678903,North-Eastern Region
Assam,2022,2,Darrang,102100,9668329,26.75,92.5,North-Eastern Region
Assam,2022,2,Kamrup Metropolitan,810057,6849699,26.75,92.5,North-Eastern Region
Assam,2022,2,Hailakandi,81807,4370640,24.6827307,92.5622753,North-Eastern Region
Assam,2022,2,Barpeta,253194,11738056,24.6827307,92.5622753,North-Eastern Region
Assam,2022,2,Goalpara,131350,8334994,24.6827307,92.5622753,North-Eastern Region
Assam,2022,2,Biswanath,76698,9502503,24.6827307,92.5622753,North-Eastern Region
Assam,2022,2,Jorhat,163307,7886769,26.7586112,94.20640848109768,North-Eastern Region
Assam,2022,3,Tinsukia,199942,29277292,27.5971709,95.566852920138,North-Eastern Region
Assam,2022,3,Lakhimpur,134167,21009628,27.2382645,94.1053145,North-Eastern Region
Assam,2022,3,Kamrup,221721,17825113,26.2074223,91.6771799,North-Eastern Region
Assam,2022,3,Kokrajhar,92019,12322852,26.2074223,91.6771799,North-Eastern Region
Assam,2022,3,Karbi Anglong,87673,13894716,26.0,93.5,North-Eastern Region
Assam,2022,3,Sivasagar,114163,7826176,26.0,93.5,North-Eastern Region
Assam,2022,3,Dibrugarh,234149,23974651,27.4881672,95.3623358,North-Eastern Region
Assam,2022,3,South Salmara Mancachar,43159,2606041,27.4881672,95.3623358,North-Eastern Region
Assam,2022,3,Nagaon,300653,16159981,27.4881672,95.3623358,North-Eastern Region
Assam,2022,3,Dhubri,154896,12516285,25.543251265569022,87.56949075116762,North-Eastern Region
Assam,2022,3,Golaghat,148419,20170917,26.5305611,93.9603353,North-Eastern Region
Assam,2022,3,Udalguri,87984,17883415,26.70472375,92.04215071409465,North-Eastern Region
Assam,2022,3,Majuli,20640,3375101,26.70472375,92.04215071409465,North-Eastern Region
Assam,2022,3,Sonitpur,235752,20172502,26.70472375,92.04215071409465,North-Eastern Region
Assam,2022,3,Hojai,96394,12294216,26.70472375,92.04215071409465,North-Eastern Region
Assam,2022,3,Marigaon,131985,8112239,26.70472375,92.04215071409465,North-Eastern Region
Assam,2022,3,Chirang,55020,12567113,26.70472375,92.04215071409465,North-Eastern Region
Assam,2022,3,Cachar,257370,11770680,25.083333,92.916667,North-Eastern Region
Assam,2022,3,Nalbari,102232,8684415,25.083333,92.916667,North-Eastern Region
Assam,2022,3,West Karbi Anglong,19543,4377609,25.083333,92.916667,North-Eastern Region
Assam,2022,3,Dhemaji,103193,13855931,27.5945155,94.71920979201424,North-Eastern Region
Assam,2022,3,Karimganj,135721,9580499,24.86648155,92.35121508187882,North-Eastern Region
Assam,2022,3,Bongaigaon,121477,10130192,24.86648155,92.35121508187882,North-Eastern Region
Assam,2022,3,Dima Hasao,36162,5936531,25.40036255,93.07522922678903,North-Eastern Region
Assam,2022,3,Baksa,113700,15925684,25.40036255,93.07522922678903,North-Eastern Region
Assam,2022,3,Charaideo,61141,9596987,25.40036255,93.07522922678903,North-Eastern Region
Assam,2022,3,Darrang,107920,11849039,26.75,92.5,North-Eastern Region
Assam,2022,3,Kamrup Metropolitan,854019,8071434,26.75,92.5,North-Eastern Region
Assam,2022,3,Hailakandi,86454,5088713,24.6827307,92.5622753,North-Eastern Region
Assam,2022,3,Barpeta,267667,12753203,24.6827307,92.5622753,North-Eastern Region
Assam,2022,3,Goalpara,138786,10801509,24.6827307,92.5622753,North-Eastern Region
Assam,2022,3,Biswanath,80965,11000845,24.6827307,92.5622753,North-Eastern Region
Assam,2022,3,Jorhat,171824,9349198,26.7586112,94.20640848109768,North-Eastern Region
Assam,2022,4,Tinsukia,209247,8688971,27.5971709,95.566852920138,North-Eastern Region
Assam,2022,4,Lakhimpur,139753,6388636,27.2382645,94.1053145,North-Eastern Region
Assam,2022,4,Kamrup,231849,11925388,26.2074223,91.6771799,North-Eastern Region
Assam,2022,4,Kokrajhar,95812,4612537,26.2074223,91.6771799,North-Eastern Region
Assam,2022,4,Karbi Anglong,91420,4792698,26.0,93.5,North-Eastern Region
Assam,2022,4,Sivasagar,118956,4937903,26.0,93.5,North-Eastern Region
Assam,2022,4,Dibrugarh,244755,9691098,27.4881672,95.3623358,North-Eastern Region
Assam,2022,4,South Salmara Mancachar,45335,2537488,27.4881672,95.3623358,North-Eastern Region
Assam,2022,4,Nagaon,314901,14572115,27.4881672,95.3623358,North-Eastern Region
Assam,2022,4,Dhubri,162126,8948191,25.543251265569022,87.56949075116762,North-Eastern Region
Assam,2022,4,Golaghat,154556,6462185,26.5305611,93.9603353,North-Eastern Region
Assam,2022,4,Udalguri,91414,4463261,26.70472375,92.04215071409465,North-Eastern Region
Assam,2022,4,Majuli,21428,882103,26.70472375,92.04215071409465,North-Eastern Region
